iter	Passed	Remaining
1414	10240	1700
1415	10248	1693
1416	10254	1686
1417	10262	1678
1418	10269	1671
1419	10277	1664
1420	10283	1657
1421	10290	1649
1422	10297	1642
1423	10305	1635
1424	10311	1628
1425	10322	1621
1426	10334	1615
1427	10346	1608
1428	10354	1601
1429	10363	1594
1430	10371	1587
1431	10380	1580
1432	10387	1573
1433	10396	1565
1434	10407	1559
1435	10416	1552
1436	10424	1545
1437	10429	1537
1438	10438	1530
1439	10447	1523
1440	10455	1516
1441	10466	1509
1442	10476	1502
1443	10484	1495
1444	10493	1488
1445	10501	1481
1446	10509	1474
1447	10517	1467
1448	10525	1460
1449	10533	1452
1450	10541	1445
1451	10549	1438
1452	10556	1431
1453	10564	1424
1454	10572	1416
1455	10582	1409
1456	10589	1402
1457	10597	1395
1458	10603	1388
1459	10610	1380
1460	10617	1373
1461	10624	1366
1462	10631	1358
1463	10638	1351
1464	10644	1344
1465	10652	1336
1466	10659	1329
1467	10665	1322
1468	10672	1315
1469	10679	1307
1470	10686	1300
1471	10693	1293
1472	10699	1285
1473	10706	1278
1474	10713	1271
1475	10720	1263
1476	10728	1256
1477	10735	1249
1478	10742	1241
1479	10748	1234
1480	10756	1227
1481	10763	1220
1482	10770	1212
1483	10777	1205
1484	10784	1198
1485	10792	1191
1486	10799	1183
1487	10806	1176
1488	10812	1169
1489	10820	1161
1490	10826	1154
1491	10833	1147
1492	10840	1139
1493	10843	1132
1494	10851	1125
1495	10858	1117
1496	10865	1110
1497	10872	1103
1498	10880	1096
1499	10887	1088
1500	10894	1081
1501	10900	1074
1502	10908	1066
1503	10914	1059
1504	10920	1052
1505	10926	1044
1506	10933	1037
1507	10940	1030
1508	10947	1022
1509	10953	1015
1510	10960	1008
1511	10966	1000
1512	10973	993
1513	10980	986
1514	10987	979
1515	10993	971
1516	11000	964
1517	11006	957
1518	11013	949
1519	11019	942
1520	11027	935
1521	11033	927
1522	11040	920
1523	11047	913
1524	11049	905
1525	11056	898
1526	11063	891
1527	11069	883
1528	11077	876
1529	11083	869
1530	11090	862
1531	11097	854
1532	11104	847
1533	11111	840
1534	11118	832
1535	11124	825
1536	11131	818
1537	11138	811
1538	11145	803
1539	11152	796
1540	11159	789
1541	11166	782
1542	11172	774
1543	11179	767
1544	11186	760
1545	11193	752
1546	11200	745
1547	11207	738
1548	11213	731
1549	11217	723
1550	11224	716
1551	11230	709
1552	11236	701
1553	11244	694
1554	11251	687
1555	11258	680
1556	11265	672
1557	11272	665
1558	11278	658
1559	11285	651
1560	11292	643
1561	11299	636
1562	11305	629
1563	11313	622
1564	11320	614
1565	11328	607
1566	11334	600
1567	11341	593
1568	11347	585
1569	11354	578
1570	11360	571
1571	11367	564
1572	11374	556
1573	11400	550
1574	11420	543
1575	11428	536
1576	11437	529
1577	11444	522
1578	11452	514
1579	11459	507
1580	11467	500
1581	11474	493
1582	11480	485
1583	11487	478
1584	11494	471
1585	11500	464
1586	11507	456
1587	11515	449
1588	11521	442
1589	11528	435
1590	11535	427
1591	11541	420
1592	11548	413
1593	11554	405
1594	11561	398
1595	11568	391
1596	11575	384
1597	11582	376
1598	11588	369
1599	11595	362
1600	11603	355
1601	11609	347
1602	11616	340
1603	11623	333
1604	11630	326
1605	11638	318
1606	11645	311
1607	11653	304
1608	11661	297
1609	11668	289
1610	11676	282
1611	11684	275
1612	11692	268
1613	11700	260
1614	11708	253
1615	11716	246
1616	11723	239
1617	11731	232
1618	11738	224
1619	11746	217
1620	11755	210
1621	11759	203
1622	11768	195
1623	11777	188
1624	11785	181
1625	11793	174
1626	11802	166
1627	11810	159
1628	11816	152
1629	11822	145
1630	11829	137
1631	11835	130
1632	11842	123
1633	11849	116
1634	11856	108
1635	11862	101
1636	11869	94
1637	11876	87
1638	11883	79
1639	11893	72
1640	11904	65
1641	11912	58
1642	11921	50
1643	11929	43
1644	11937	36
1645	11944	29
1646	11952	21
1647	11958	14
1648	11965	7
1649	11972	0
